"Title","Image","Item No:","Product name","Technical data","Rich Text","Sorting","PDF file","Product list (List)","Product list (List)-1","Publish Date","Unpublish Date","Status","Product collection (List)","Manual sort","ProductPrivate","ID","Created Date","Updated Date","Owner"
"Camera with privacy protection","wix:image://v1/0dba83_b499dbacd6ad43e993ff3a51f12f047b~mv2.png/Cam_and_radar_wall_2.png#originWidth=2144&originHeight=1156",11506,"Basic camera wifi","Camera with extra privacy","<p class=""font_8"">Affordable, easy to use camera for surveillance in alarm cases. Camera has HW connected buzzer and led to guaranty warning to user when camera is in use. Camera use low resolution video protect privacy and reduce bandwidth. It also adjust frames per second based on communication link.</p>",18,"wix:document://v1/ugd/0dba83_148f022079754a818ee049a9f063d70a.pdf/11506_Cam-X1-Basic.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0po","/productprivate/","00175acd-b899-4f0a-bfc2-0745b2a78254",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Ear Thermometer","wix:image://v1/0dba83_14bd7234d06c4da48a8a47b6f78dca6e~mv2.jpg/temperature.jpg#originWidth=308&originHeight=369",12603,"ThermoSense","Thermomter IR based","<p class=""font_8"">The ear thermometer uses the latest infra-red technology to monitor the infrared heat radiated by the eardrum and surrounding tissues and performs an accurate temperature measurement capable of detecting and distinguishing temperature differences up to 0.01°</p>",15,"wix:document://v1/ugd/0dba83_529481170fb94817b886fa769389bdb2.pdf/12603_IR_Temp.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pjo","/productprivate/","04401eb8-2156-4b7c-bfff-e187101d7c70",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Fingertip pulse oximeter","wix:image://v1/0dba83_194c1ee6f928433588078980cc88fb3a~mv2.jpg/SPPO.jpg#originWidth=156&originHeight=148",12601,"OxySense","SPO","<p class=""font_8"">Blood pressure monitor is intended for non-invasive measurement, using oscillometric method to detect individual’s systolic, diastolic blood pressure and heart rate. The device is designed for home or clinical use.</p>",13,"wix:document://v1/ugd/0dba83_56db155edf5d412c96512f935f8c86f9.pdf/12601_SPO-500G.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pjk","/productprivate/","085e52a2-1fb9-4b90-928a-921e191a29d8",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Radar-basert sensor for takmontering","wix:image://v1/0dba83_e9042ea1f8bb4aa49e4622f2a456e36a~mv2.png/Cam_radar%20ceiling.png#originWidth=1098&originHeight=591",11522,"GuardianSense (c)","Radar basert fall sensor med PIR og battery","<p class=""font_8"">Enkel å installere og enkel å bruke radarsensor som oppdager farlige hendelser som fall, uten å krenke personvernet til individet. For eksempel, i et eldreomsorgscenario, kan sensoren oppdage status som gående eller sittende, samt oppdage farlige hendelser som fall.</p>",11,"wix:document://v1/ugd/0dba83_548044ef05394d6a9b6818e8d8a71b8a.pdf/11522_RFSLRB-x1.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pjg","/productprivate/","1c0a6a4c-dfab-4cba-bb87-09f49d02f138",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Radar & IR based sensor for ceiling installation","wix:image://v1/0dba83_1b2f270729c24c7f92f41a52732404e8~mv2.png/radar_wall.png#originWidth=2144&originHeight=1156",11523,"GuardianSense Pro (c)","Radar based Vital Signs for HR and RR","<p class=""font_8"">Affordable, easy to use and contact-less monitoring of vital signs for various purposes, ranging from sleep analysis to patient monitoring in elderly care. To be placed on ceiling or wall</p>",12,"wix:document://v1/ugd/0dba83_70cb1ab0b8654cdebfbeb61654ce0dc1.pdf/11523_RVS-x1.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pji","/productprivate/","24f3607f-18a8-47c3-a259-67818fbe3b08",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Vaktrommet","wix:image://v1/0dba83_113a7356c00242cab635512e9af6356b~mv2.jpg/Vaktrommet_1.jpg#originWidth=350&originHeight=193",11500,"Cloud server","Azure cloud server with user web interface","<p class=""font_8"">Denne enheten er nødvendig for å behandle data fra noen versjoner av sengesensorer, og etter beregning sende data til skyen. Den støtter også tredjeparts enheter som blodtrykk, blodsukker, vekt, temperatur og SPO i automatisk og manuell modus. Manuell modus skal brukes i institusjoner.</p>",1,,"/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0n","/productprivate/","32fe2dae-3cd2-4590-a3aa-f1aecfa9ae29",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Sensorcentrol - Utendørs / militær","wix:image://v1/0dba83_b19c80ad49824b749923b403eb5cfe7a~mv2.png/Casing_gateway_rt1062.png#originWidth=2116&originHeight=1132",11512,"CoreHub+M","Med WIFI, LAN, 4G og BLE. Vanntett og batteri operert","<p class=""font_8"">Sensor sentral med wifi, LAN, 4G og ble (Bluetooth lav energi). Vanntett og batteridrevet (utendørs - militær)</p>",4,"wix:document://v1/ugd/0dba83_f31a603d9a4a4467b4f4247e793425de.pdf/comming%20soon.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pg","/productprivate/","372be63e-3587-4faa-b904-ffe988028ef1",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Radar basert fall sensor","wix:image://v1/0dba83_1b2f270729c24c7f92f41a52732404e8~mv2.png/radar_wall.png#originWidth=2144&originHeight=1156",11520,"GuardianSense (w)","Radar basert fall sensor for veggmontasje","<p class=""font_8"">Enkel å installere og enkel å bruke radarsensor som oppdager farlige hendelser som fall, uten å krenke personvernet til individet. For eksempel, i et eldreomsorgscenario, kan sensoren oppdage status som gående eller sittende, samt oppdage farlige hendelser som fall.</p>",9,"wix:document://v1/ugd/0dba83_62b9371292c241d7b2721b0345ed749e.pdf/11520_RFS_x1.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pj","/productprivate/","3bed56ac-d414-4305-b18c-e82817707475",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
,"wix:image://v1/0dba83_e984e0975c91485ca4c3068bbfde9af6~mv2.jpg/blood_sugar.jpg#originWidth=135&originHeight=196",12605,"BS-709 b","Blood Sugar",,17,"wix:document://v1/ugd/0dba83_f31a603d9a4a4467b4f4247e793425de.pdf/comming%20soon.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pm","/productprivate/","482b6c21-b9f6-4707-8e05-cf15905a169d",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"sensorCentral with battery backup","wix:image://v1/0dba83_e9b8df2948c5410186ef98acc4b06d07~mv2.png/SensoCare_1.png#originWidth=1956&originHeight=1155",11511,"CoreHub+","Med WIFI, LAN, 4G, BLE og batteri","<p class=""font_8"">Denne enheten er nødvendig for å behandle data fra noen versjoner av sengesensorer, og etter beregning sende data til skyen. Den støtter også tredjeparts enheter som blodtrykk, blodsukker, vekt, temperatur og SPO i automatisk og manuell modus. Manuell modus skal brukes i institusjoner.</p>",3,"wix:document://v1/ugd/0dba83_4065e50c3da84a0d8be8453121a4bcbf.pdf/11511_RT62x1B-DSP.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pc","/productprivate/","71318d39-1e79-4da1-840e-900a0bba3c8b",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Camera with dual fall detection","wix:image://v1/0dba83_b499dbacd6ad43e993ff3a51f12f047b~mv2.png/Cam_and_radar_wall_2.png#originWidth=2144&originHeight=1156",11508,"Cam-X2","Camera with radar and infra red based fall sensor","<p class=""font_8"">Easy to use camera for surveillance in alarm cases. Camera has HW connected buzzer, led and mechanical door in front of lens to guaranty warning to user when camera is in use. Camera use low resolution video protect privacy and reduce bandwidth.&nbsp;</p>",20,"wix:document://v1/ugd/0dba83_c88b9979e39d47f3a5482897bf860be9.pdf/11508_Cam-X2.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pp8","/productprivate/","7507baae-e1b0-48e6-ae40-bee0c36d272c",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
,"wix:image://v1/0dba83_9630192bbed6435b901400b96ff4d222~mv2.jpg/IoT_alam_buttom_4G.jpg#originWidth=292&originHeight=196",11513,"Call button local","Call button that works with local sensor Central (11510 or 11511). ",,21,"wix:document://v1/ugd/0dba83_f31a603d9a4a4467b4f4247e793425de.pdf/comming%20soon.pdf","/product-list-1/","/product-list-1/","2024-07-10T09:05:15Z",,"PUBLISHED","/products/","0ppg","/productprivate/","7ea89b5c-f785-4795-9363-bf8ad5a0700d",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Radar & Infrared basert fall sensor","wix:image://v1/0dba83_1b2f270729c24c7f92f41a52732404e8~mv2.png/radar_wall.png#originWidth=2144&originHeight=1156",11521,"GuardianSense Pro (w)","Radar & Infrarød basert fall sensor","<p class=""font_8"">Enkel å installere og enkel å bruke radarsensor som oppdager farlige hendelser som fall, uten å krenke personvernet til individet. For eksempel, i et eldreomsorgscenario, kan sensoren oppdage status som gående eller sittende, samt oppdage farlige hendelser som fall.</p>",10,"wix:document://v1/ugd/0dba83_935f48a85cc642ff9bea9f493a89e99c.pdf/11521_RFSLR-x1.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pj8","/productprivate/","7fb718e8-5e44-4ac2-913b-d0ae39f55870",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Camera and radar ","wix:image://v1/0dba83_b499dbacd6ad43e993ff3a51f12f047b~mv2.png/Cam_and_radar_wall_2.png#originWidth=2144&originHeight=1156",11507,"Cam-X1-PoE(x)","Camera and radar combined","<p class=""font_8"">Affordable, easy to use camera for surveillance in alarm cases. Camera has HW connected buzzer and led to guaranty warning to user when camera is in use. Camera use low resolution video protect privacy and reduce bandwidth. It also adjust frames per second based on communication link.</p>",19,"wix:document://v1/ugd/0dba83_11dd9c1e84a14433bf6ba7cfbc043ec2.pdf/11507_Cam-X1-PoE(x).pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pp","/productprivate/","89418d02-f7de-44cd-a7fa-cdd9388d8cf2",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"sensorCentral ","wix:image://v1/0dba83_e9b8df2948c5410186ef98acc4b06d07~mv2.png/SensoCare_1.png#originWidth=1956&originHeight=1155",11510,"CoreHub","Med WIFI, LAN, 4G og BLE","<p class=""font_8"">Denne enheten er nødvendig for å behandle data fra noen versjoner av sengesensorer, og etter beregning sende data til skyen. Den støtter også tredjeparts enheter som blodtrykk, blodsukker, vekt, temperatur og SPO i automatisk og manuell modus. Manuell modus skal brukes i institusjoner.</p>",2,"wix:document://v1/ugd/0dba83_c714cae23b4342df874822ebed6ec89a.pdf/11510_RT62x1-DSP.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0o","/productprivate/","8ade7a94-474c-4e5a-8de2-f1f784f8c464",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Rask og robust sengerensorr","wix:image://v1/0dba83_79456d58b5ed4e3ba7c7d11bc9477f44~mv2.png/ambulanse%20seng.png#originWidth=203&originHeight=182",11501,"VitalSense Pad","Sensor med 3 x element som bruker 24 bit, 4ks/s","<p class=""font_8"">Rimelig, enkel å bruke og kontaktløs overvåking av vitale tegn for forskjellige formål, som spenner fra søvnanalyse til pasientovervåking i eldreomsorgen. Kan plasseres over/under madrassen eller i brukerens favorittstol. Rask respons og motstandsdyktig mot vibrasjoner og støy.</p>",8,"wix:document://v1/ugd/0dba83_5d01321d6298435d9e06269ff79c0153.pdf/11501_Piezox3_serial.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0phg","/productprivate/","963d569b-ac76-4625-81b2-ae3d6c76286b",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Wi-Fi based BCG sensor","wix:image://v1/0dba83_805be4dd767b4804b658dc4d274f8c2a~mv2.jpg/BCG_sensor.JPG#originWidth=755&originHeight=522",11504,"VitalTrack Wi-Fi","BCG bed sensor with Wi-Fi interface. ","<p class=""font_8"">Affordable, easy to use contact-less monitoring of vital signs for various purposes, ranging from sleep analysis to patient monitoring in elderly care</p>",6,"wix:document://v1/ugd/0dba83_d1683a676bd643f7b1c558ff0930fbcf.pdf/11504_BCG-WiFi.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pk","/productprivate/","9d40ae0f-2d0d-42c2-a0bd-807f76fcabf5",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Upper Arm Blood Pressure Monitor","wix:image://v1/0dba83_1b60f6ddd41d4618a59aab23793a7b34~mv2.jpg/blodpresure.jpg#originWidth=303&originHeight=241",12602,"BP6275-B","Blood presure","<p class=""font_8"">The sensor adopts Photoelectric Oxyhemoglobin Inspect technology in accordance with capacity pulse scanning recording technology, witch can be used to measure human oxygen saturation &amp; pulse rate through finger</p>",14,"wix:document://v1/ugd/0dba83_c027ba98560b4260a9266102b6c07db9.pdf/12602_BP6275-B.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pjm","/productprivate/","9f21eee0-0198-4163-a620-5adb5c0659a5",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Wi-Fi based BCG sensor with BLE ","wix:image://v1/0dba83_805be4dd767b4804b658dc4d274f8c2a~mv2.jpg/BCG_sensor.JPG#originWidth=755&originHeight=522",11505,"VitalLink BLE","BCG bed sensor with BLE connection","<p class=""font_8"">In addition to be a successor to muRata SCA11H, this sensor connect to a number of third part BLE devices like SPO, blood pressure, blood sugar, temperature and weight. Affordable, easy to use contact-less monitoring of vital signs for various purposes, ranging from sleep analysis to patient monitoring.</p>",7,"wix:document://v1/ugd/0dba83_2534fdd5db3246ce82c758d2b14703f7.pdf/11505_BCG-WI-Fi%20(Standalone).pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0plg","/productprivate/","a03c8c97-887f-4a9f-addc-ccdce725bd6d",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"radar based Vital Signs","wix:image://v1/0dba83_1b2f270729c24c7f92f41a52732404e8~mv2.png/radar_wall.png#originWidth=2144&originHeight=1156",11524,"GuardianVital","IR use 90 degres view angle for wider detection area","<p class=""font_8"">Radarbased vital sign sensor</p>",,,,,,,,"/products/","0pjj","/productprivate/","abf4867d-0e6e-4b93-840f-d730ed7dfff3",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
,"wix:image://v1/0dba83_13e648eabe87464bb9e67337b02b6178~mv2.jpeg/smartring_and_watch.jpeg#originWidth=1024&originHeight=1024",12606,"New technologies","We will add new technologies when we find them useful and we can make sure they follow directives  for MDR, IVDR and FDA. On customers request we can basically add any sensor",,23,"wix:document://v1/ugd/0dba83_a4d5ad0514b4469a9d1fa974c30115bf.pdf/noting%20to%20show.pdf","/product-list-1/","/product-list-1/","2024-07-11T08:02:15Z",,"PUBLISHED","/products/","4","/productprivate/","ad102127-7783-44a4-b67a-170840e40b62",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"Kontaktløs overvåking av livs tegn","wix:image://v1/0dba83_c983f703e3554874ab569add09ebe12b~mv2.jpg/BCG_sensor.JPG#originWidth=755&originHeight=522",11502,"VitalTrack UART","BCG sensorseng med UART-grensesnitt for tilkobling til gateway.","<p class=""font_8"">Rimelig, enkel å bruke og kontaktløs overvåking av vitale tegn for forskjellige formål, som sporer søvn og pasientovervåking i eldreomsorgen. Skal plasseres på sengegiver, over/under madrassen eller i brukerens favorittstol.</p>",5,"wix:document://v1/ugd/0dba83_aedb11e5327a498bb082a18610c03b55.pdf/11502_BCG-Serial.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pi","/productprivate/","af56f4c7-1d60-4272-a204-796669c60dbe",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
,"wix:image://v1/0dba83_9630192bbed6435b901400b96ff4d222~mv2.jpg/IoT_alam_buttom_4G.jpg#originWidth=292&originHeight=196",11514,"Call button with 4G and GPS","Call button that use 4G and GPS",,22,"wix:document://v1/ugd/0dba83_f31a603d9a4a4467b4f4247e793425de.pdf/comming%20soon.pdf","/product-list-1/","/product-list-1/","2024-07-10T09:05:15Z",,"PUBLISHED","/products/","0ppc","/productprivate/","e4951a1f-86b9-40a0-91f3-c2eeca7f9e93",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
,"wix:image://v1/0dba83_4e916d39e9594ec5b34bf5edbdab361b~mv2.png/scale.png#originWidth=169&originHeight=172",12604,"SBYD02P","Scale",,16,"wix:document://v1/ugd/0dba83_f31a603d9a4a4467b4f4247e793425de.pdf/comming%20soon.pdf","/product-list-1/","/product-list-1/",,,"PUBLISHED","/products/","0pjog","/productprivate/","f0029ea7-2414-4731-bdeb-649d515e9ddf",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
"4G based BCG sensor","wix:image://v1/0dba83_c983f703e3554874ab569add09ebe12b~mv2.jpg/BCG_sensor.JPG#originWidth=755&originHeight=522",11510,"VitalLink IoT","Sensor for IoT 4G network with BLE function","<p class=""font_8"">BCG sensor with ble support for additional sensors over 4G</p>",,,,,,,,"/products/","0plo","/productprivate/","f57d4024-0024-4cad-9dae-414679d82bc6",2025-07-06T13:30:23Z,2025-07-06T13:40:41Z,"0dba830f-e55a-422d-bd6b-d1398e6f901e"
